market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market,in_market
annualHoldingsTurnover,4.717,13.1504,19.5812,3.9256,1.4238,13.516899,4.5838,7.7319,1.1029,0.6369,4.6,2.3343,4.6746,0.6308,1.1269001,6.0522,2.3481,0.8033,0.943,0.8596,1.9039999,1.1512,3.4928,4.14,24.58,19.6696,0.3005,0.1846,1.2589,0.7618,0.35950002,0.8714,0.7564,3.5015,0.734,2.6141,0.8683,6.0589004,0.5585,0.39330003,0.6257,1.8358,8.3384,13.0925,12.528299,0.45880002,10.893499,1.1578,0.3732,3.3042998,1.4784,5.3708,0.2712,1.595,5.1878996,1.3566,3.0093,0.77129996,0.518,0.59,4.22,6.2834,0.73910004,8.5719,3.0451002,0.1382,3.1883,17.5226,0.3183,0.4647,0.4105,1.5830001,2.0786,2.3442,2.1442,2.7629,2.579,2.0718,2.2842,0.3085,0.3463,0.4312,0.0921
enterpriseToRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beta3Year,0.96,1.55,1.22,1.25,0.84,0.88,,0.83,0.94,0.72,0.98,1.25,1.51,1.03,0.62,0.88,,1.14,0.92,1.1,0.98,1.04,,1.32,0.84,0.76,1.12,,1.25,1.17,,1.31,0.79,0.85,0.97,1.29,0.88,0.83,0.77,,,1.27,1.07,1.05,1.4,1.05,1.04,1.02,1.09,1.01,0.89,1.15,0.86,1.98,0.37,2.45,,1.02,0.96,0.98,,1.4,1.06,1.22,1.15,0.56,0.92,,1.82,0.86,0.94,0.86,,0.44,0.75,1.46,1.18,,1.05,0.89,,,0.91
profitMargins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
enterpriseToEbitda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52WeekChange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
morningStarRiskRating,2,4,4,5,2,2,4,0,2,1,2,3,2,2,1,2,0,5,3,5,3,3,3,3,1,0,1,5,2,2,4,4,2,3,4,4,2,3,1,1,5,3,3,3,3,4,4,4,1,3,1,4,3,3,4,4,0,4,4,3,5,3,5,2,3,1,3,2,2,3,4,3,5,2,1,2,3,1,3,4,4,5,2
forwardEps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
revenueQuarterlyGrowth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fundInceptionDate,1356998400,1356998400,1356998400,1356998400,1356998400,1356998400,1439510400,1356998400,1356998400,1356998400,1356998400,1356998400,1356998400,1356998400,1356998400,1356998400,1491523200,1356998400,1356998400,1356998400,1356998400,1356998400,1358812800,1379030400,1392249600,1356998400,1356998400,1356998400,1356998400,1395705600,1356998400,1356998400,1356998400,1356998400,1356998400,1363219200,1356998400,1410480000,1356998400,1356998400,1356998400,1356998400,1356998400,1356998400,1356998400,1356998400,1414627200,1356998400,1356998400,1356998400,1356998400,1359504000,1356998400,1356998400,1356998400,1356998400,1485907200,1356998400,1356998400,1451260800,1356998400,1418342400,1356998400,1356998400,1356998400,1369353600,1385942400,1356998400,1356998400,1356998400,1356998400,1424908800,1356998400,1356998400,1356998400,1356998400,1359417600,1363651200,1356998400,1356998400,1356998400,1356998400,1356998400
annualReportExpenseRatio,0.0027,0.0057,0.008,0.0094,0.009,0.0063,0.0166,0.00090000004,0.011,0.0116,0.0028,0.0043,0.0025,0.013300001,0.0061000003,0.0074,0.0124,0.018099999,0.0172,0.0093,0.0150999995,0.0077,0.0115,0.0029,0.0093,0.00059999997,0.0097,0.0106,0.0034,0.0095999995,0.0052,0.012999999,0.0025,0.006,0.0113,0.0049,0.0119,0.001,0.0086,0.0023,0.0043,0.0046,0.0109,0.0083,0.0045,0.0093,0.0087,0.0296,0.0306,0.0083,0,0,0,0.0054,0.0027,0.0036000002,0.0072000003,0,0,0,0.0121,0.0068,0.0126,0.0015,0.0042,0.019199999,0.0166,0.012,0.02,0.0342,0.0639,0.0152,0.014199999,0.0039,0.0072000003,0.0038,0.0058999998,0.0104,0.0034,0.013300001,0.0111,0,0.017
totalAssets,2256856064,734990976,16024178688,1473870976,,,,11771773952,,,,,2231470080,543000,,1698556032,,,,79437000,166191008,2429554944,,,,,1742057216,,,,354848079872,12725576704,,41331408896,9306804224,,2144604032,,,96684816,,,627652992,,,,,645382016,1181202944,4340717056,,783977088,2091954048,,3930120960,100556000,,,,,1483795968,,22226911232,143911944192,10272984064,,,878492032,35260000,45448000,43791000,,201996000,1222631040,656998016,34323283968,59418000,137483008,32307000,,,,16449469440
bookValue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fundFamily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lastFiscalYearEnd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
netIncomeToCommon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trailingEps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lastDividendValue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SandP52WeekChange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
priceToBook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nextFiscalYearEnd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mostRecentQuarter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
enterpriseValue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
priceHint,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
threeYearAverageReturn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lastSplitDate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lastSplitFactor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
